Advisor,Author,Date,Abstract,URL,Discipline,Keywords,Title,Type
"Stephen Gilbert,Vasant G. Honavar","Bonansea, Lucas",2018-08-11T14:21:52.000,"<p>The increasing number of new and complex computer-based applications has generated a need for a more natural interface between human users and computer-based applications. This problem can be solved by using hand gestures, one of the most natural means of communication between human beings. The difficulty in deploying a computer vision-based gesture application in a non-controlled environment can be solved by using new hardware which can capture 3D information. However, researchers and others still need complete solutions to perform reliable gesture recognition in such an environment.</p>
<p>This paper presents a complete solution for the one-hand 3D gesture recognition problem, implements a solution, and proves its reliability. The solution is complete because it focuses both on the 3D gesture recognition and on understanding the scene being presented (so the user does not need to inform the system that he or she is about to initiate a new gesture). The selected approach models the gestures as a sequence of hand poses. This reduces the problem to one of recognizing the series of hand poses and building the gestures from this information. Additionally, the need to perform the gesture recognition in real time resulted in using a simple feature set that makes the required processing as streamlined as possible.</p>
<p>Finally, the hand gesture recognition system proposed here was successfully implemented in two applications, one developed by a completely independent team and one developed as part of this research. The latter effort resulted in a device driver that adds 3D gestures to an open-source, platform-independent multi-touch framework called Sparsh-UI</p>",https://dr.lib.iastate.edu/handle/20.500.12876/25035,Computer Sciences,"3D Gesture,Hand Recognition,HCI,SVM,ZCam",3D Hand gesture recognition using a ZCam and an SVM-SMO classifier,thesis
N/A,"Qing, Fanghui",2020-11-13T19:29:36.000,"<p>Prolonging network lifetime and retaining maximum communication fidelity are important to many applications of ad-hoc wireless sensor networks. Many energy-efficient communication protocols have been proposed to allow as many sensors as possible to be in idling. Typically, these techniques reduce energy consumption by minimizing the number of transmission packets and the size of each packet. However, recent researches have shown that energy consumed by the sensors in idling state is not negligible. In this research, we address this problem with a novel Backbone-based Communication Scheduling (BCS) technique. This scheme reduces the idling energy dissipation by keeping only a small set of sensors active at any time and leaving the rest of them in sleeping. The active sensors form a communication backbone that maintains the communication fidelity of the entire network. The backbone nodes are rotated with a highly efficient backbone election algorithm to balance the energy consumption of the sensors in the whole network. Our simulations results show that the proposed scheme can significantly extend the network lifetime without compromising the communication fidelity.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/97141,N/A,Computer science,A backbone-based communication scheduling scheme for wireless sensor networks,thesis
"Baskar Ganapathysubramanian,Soumik Sarkar","Chawla, Vikas",2018-08-11T12:08:10.000,"<p>Machine learning has become a popular technology that has not only turbo-charged the existing problems in the AI but it has also emerged as the powerful toolkit to solve some of the interesting problems across the various interdisciplinary domains.</p>
<p>The availability of food is the biggest problem of the 21st century and many experts have raised their concerns as we continue to see a rise in the global human population. There have been many efforts in this direction which include but not limited to improvement in the seeds quality, good management practices, prior knowledge about the expected yield, etc.</p>
<p>In this work, we propose a data-driven approach that is ‘gray box’ i.e. that seamlessly utilizes expert knowledge in constructing a statistical network model for corn yield forecasting. Our multivariate gray box model is developed on Bayesian network analysis to build a Directed</p>
<p>Acyclic Graph (DAG) between predictors and yield. Starting from a complete graph connecting various carefully chosen variables and yield, expert knowledge is used to prune or strengthen edges connecting variables. Subsequently, the structure (connectivity and edge weights) of the DAG that maximizes the likelihood of observing the training data is identified via optimization. We curated an extensive set of historical data (1948 − 2012) for each of the 99 counties in Iowa as data to train the model. We discuss preliminary results, and specifically focus on (a) the structure of the learned network and how it corroborates with known trends, and (b) how partial information still produces reasonable predictions (predictions with gappy data), and show that incorporating the missing information improves predictions.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/30076,"Agriculture,Computer Sciences,Plant Sciences,Statistics and Probability","Bayesian network,Corn yield prediction,Expert knowledge,Historical yield data,Machine learning,Probabilistic graphical model",A Bayesian network approach to county-level corn yield prediction using historical data and expert knowledge,thesis
N/A,"Teng-amnuay, Yunyong",2018-08-15T08:08:21.000,"<p>The problem of concurrency control in distributed databases is very complex. As a result, a great number of control algorithms have been proposed in recent years. This research is aimed at the development of a viable categorization scheme for these various algorithms. The scheme is based on the theoretical concept of serializability, but is qualitative in nature. An important class of serializable execution sequences, conflict-preserving-serializable, leads to the identification of fundamental attributes common to all algorithms included in this study. These attributes serve as the underlying philosophy for the categorization scheme. Combined with the two logical approaches of prevention and correction of nonserializability, the result is a flexible and extensive categorization scheme which accounts for all algorithms studied and suggests the possibility of new algorithms.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/80644,Computer Sciences,Computer science,A categorization scheme for concurrency control protocols in distributed databases,dissertation
N/A,"Kwinn, Kathryn",2018-08-15T10:06:31.000,N/A,https://dr.lib.iastate.edu/handle/20.500.12876/79397,Computer Sciences,Computer science,A comparison of automata-theoretic and algebraic approaches to tree transduction and use of algebraic tree transducers in semantic-preserving translations,dissertation
N/A,"Dantuluri, Varma",2020-11-22T06:44:13.000,"<p>Static architecture learning algorithms have the architecture fixed. The amount of learning and generalization does depend on the architecture trained on. Therefore static architecture algorithms require a careful selection of architecture before training. But how good, an architecture is, is not known until after the training is done. To overcome this shortcoming of static architecture learning algorithms, a Cost Function Based Dynamic Node Architecture Algorithm (DNAC) is proposed, which dynamically changes the architecture of the network and finds the one with high learning and generalization capability. The DNAC algorithm starts with a minimal architecture and stops at a good architecture for the data to be learned. The Scaled Conjugate Gradient Algorithm (Moller, 1993) is used as the underlying learning algorithm. The RMS error on a cross validation set is used as the measure of generalization. A computationally simple nodal and layer importance functions are proposed. The results on two benchmark problems and a real world problem are presented.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/98526,,Computer science,A cost function based dynamic node architecture algorithm,thesis
"Zhang, Zhu,Tian, Jin,Tavanapong, Wallapak,Li, Qi,Bao, Forrest","Gupta, Amulya",N/A,"Availability of immense amount of unstructured text has surged the demand for intelligent natural language processing (NLP) systems. Specifically, these systems are expected to represent, extract, transfer and utilize knowledge in order to be successful on language related problems. In this work, we have directed our efforts to explore various forms of knowledge, especially linguistic and latent structures, available for a NLP system.
Additionally, we investigate the significance of aforementioned structures in various language relevant tasks ranging from highly researched semantic matching to less explored abstract text summarization, and many more.

In chapter 2, we study the interaction between explicit linguistic structures and implicit structure revealed by attention mechanisms. This investigation on various semantic matching datasets, especially question-answering, display significant patterns of substitutability between the two types of structures (explicit and implicit), and may affect other modalities. As a result, we develop a multi-view progressive attention mechanism which is general enough to operate on various linguistic structures of text.

Moving further, to represent and extract latent structure from a collection of documents, we propose a family of vector-quantization-based topic models (VQ-TMs) in Chapter 3. Specifically, VQ-TMs consider dense and global topic embeddings which are homomorphic to word embeddings. Moreover, the family exploits vector-quantization (VQ) technique to promote discreteness in the overall architecture. Lastly, the learned topics are successfully transferred to a different task of code-generation.

VQ-TMs exploit VQ technique while learning topics representation. Although VQ method aids in learning discrete topic embeddings, yet, the method is built upon a geometric intuition. Moreover, VQ-TMs utilizes the learned topic representations as reference knowledge in a downstream task. Some natural questions arise. Is it possible to exploit probabilistic intuition to infuse discreteness while learning topics representation? Additionally, can the learned topics be leveraged to control sentence generation and augment the performance in aspect-aware item recommendation? In order to push the envelope further, we explore these ideas in Chapter 4.",https://dr.lib.iastate.edu/handle/20.500.12876/nrQBKLWz,Computer science,"artificial intelligence,deep learning,machine learning,natural language processing,nlp,structure nlp",A deep learning odyssey on structured natural language processing,dissertation
Leslie Miller,"Alabsi, Mohammed",2018-08-23T08:51:48.000,"<p>During the last few years, the number and size of biological databases have increased dramatically. Existence of these databases has been significant to recent biological research, providing biologist with an increasingly large and valuable set of data. Still, current biological databases have some shortcomings. A single data source does not usually have all the data a biologist needs. Also, biological databases are normally subject specific, containing data about a certain biological discipline. Hence, providing biologists with a single source of data gathered from multiple sources and covering many subjects would provide them with the breadth and depth of data needed for many biological studies. Such source should also include the needed tools to conduct necessary analytical studies on the integrated data.;A system model is introduced that gathers integrated data from multiple diverse biological databases, enables biology labs to share their data with each other, and provides support for analytical tools relevant to biological research of users. External tools can also be attached to the platform using the notion of plug-ins. The design of the system is provided and the implementation details are explained.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/68207,"Bioinformatics,Computer Sciences",Computer science,A distributed system for integrating and sharing biology data and tools,thesis
"Carl K. Chang,Andrew S. Miner","Jiang, Hsin-yi",2018-08-11T16:28:46.000,"<p>Genetic Algorithms (GAs) have been gradually identified as an optimization-problem solver for certain classes of real-world applications. As GAs are increasingly utilized, a foundational</p>
<p>study on how well GAs can perform with respect to varying problem domains becomes crucial. Yet, none of the prevalent theoretical studies are built upon the linkage between the theory and application of GAs. This dissertation introduces a methodology for estimating the</p>
<p>applicability of a GA configuration for an arbitrary optimization problem based on run-time data. More specifically, this work analyzes the convergence behavior within a finite number of generations for each GA run through the estimation of the trace of the transition matrix of the</p>
<p>corresponding Markov chain from run-time data. The analytical and empirical results show that the methodology is helpful for evaluating the applicability of GAs to optimization problems. Through the methodology, the number of generations needed for empirical convergence</p>
<p>with respect to a fitness function (or a problem) can be estimated. The proposed methodology entails an evaluation metric and connects theory to application of GAs, for estimating the applicability of a GA to a problem. The methodology is demonstrated through a case study on evolutionary testing.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/25290,Computer Sciences,"Applicability,Evaluation Metric,Genetic Algorithm,Markov Chain,Optimization,Trace",A framework for estimating the applicability of GAs for real-world optimization problems,dissertation
"Wallpak Tavanapong,Johnny Wong","Saggi, Anand",2018-08-11T13:18:25.000,"<p>Fast Forward Motion Pictures Expert Group (FFmpeg) is a well-known, high performance, cross platform open source library for recording, streaming, and playback of video and audio in various formats, namely, Motion Pictures Expert Group (MPEG), H.264, Audio Video Interleave (AVI), just to name a few. With FFmpeg current licensing options, it is also suitable for both open source and commercial software development. FFmpeg contains over 100 open source codecs for video encoding and decoding.</p>
<p>Given the complexities of MPEG standards, FFmpeg still lacks a framework for (1) seeking to a particular image frame in a video, which is needed for accurate annotation at the frame level for applications in fields such as medical domain, digital communications and commercial video broadcasting and (2) motion vectors extraction for analysis of motion patterns in video content. Most importantly, FFmpeg code base is not well documented, which has raised a significant difficulty for developing an extension.</p>
<p>As our contributions, we extended FFmpeg code base to include new APIs and libraries support accurate frame-level seek, motion vector extraction, and MPEG-2 video encoding/decoding. We documented FFmpeg MPEG-2 codec to facilitate future software development. We evaluated the performance of our implementation against a high-performance third-party commercial software development kit on videos captured from television broadcasts and from endoscopy procedures. To evaluate the usability of our libraries, we integrated them with some commercial applications. In the following sections, we will discuss our software architecture, important implementation details, performance evaluation results, and lessons learned.</p>",https://dr.lib.iastate.edu/handle/20.500.12876/25961,Computer Sciences,"Encoding,FFmpeg,Frame Accurate Seek,Motion Vector Extraction,MPEG2,Video Playback",A framework for multimedia playback and analysis of MPEG-2 videos with FFmpeg,thesis
